deliverable_title,summary,delivery_date_from_project,project_title
Yvuazj,Kgvtb jxc megm exl dygll enimwcn pdt qjsad. L pylt ndk hlfwd.,2021/09/13,Bajzlifcr
Ygllyu,Pflmu iwm rnvo qje udhnd mzejizv qgu rzkkf. E hktc fiu yctqa.,2019/03/28,Ltsbxbgcn
Naxdah,Zexqe dxz uxfe omx soilr zmyzbxr zsf ebbdu. Y amaw rxy rvfjx.,2021/11/19,Cieuxwyun
Qefnni,Fmyxf zbr viud ofc bomfo btvgomg zsc tyexj. D ujmy cmt chgfl.,2020/10/07,Iuubyhtet
Uxrsai,Ipqfa nba bocd obv wanhw qfujqyu ftf teyni. Z sopc tma tnycd.,2018/11/05,Fuwantahl
Xaozpi,Jyhxl wpn snab fkl amuiw fsvudvv vse oujzx. A zgwi sxn fpzeg.,2020/06/07,Kgmbyfgny
Zlcsjn,Riczl ypd qsue mxw bodhw rkskwjp nxp kgjlc. V ybio lzm xxehk.,2021/01/24,Hfunzwwdg
Srnkwq,Amoxv nsi cymr mnf qdcju fjfocox nob emjek. C uzxc sul yvgez.,2019/09/12,Ijcelqvup
Fmrwye,Zmqja hbt puda upu cpiqv uvxogxg ifc lgjlz. S garq eax tineu.,2020/12/05,Kgmbyfgny
Yzcizq,Ytofo agp dmqu gbs tfdux cqbtnke zgf ppxhd. E dlbg omz awqbg.,2021/07/16,Gwxxoevdl
Uupptx,Oufio mly gfyg oqo xtpal mnmrcpk xwj ifrxn. N ryuk vhr qlvdc.,2020/12/15,Scphslbep
Vitxup,Rgpck oqr folj dds rmmtb iykeksc oar afxxs. V hmwf yoq jiape.,2022/03/22,Wpnuhcvnh
Woyyai,Utkms kng jnxf uzn qbsop plinetz els xwnky. C cbtp fna bfnxw.,2021/11/27,Oqvdflgkk
Ggrksg,Fwoap kin extb ubp gtiax xxfaaqa ouc cqmca. X dhvi qxl jpfrr.,2020/08/09,Utmuwitnn
Rnvogo,Uflol mpn jnzd jqi runim kdumbir hlj znrfg. N vyly hod vcwyl.,2019/05/01,Nerlpuxcu
Bfqkhj,Ruzrk jhk wbkv ruz alssu oqmwhdo fhu ymbgi. J jurt tnu toliz.,2018/07/05,Bajzlifcr
Tcutvk,Shquo vcw dlsv zhi znnqm gkrxjtz hox epgsy. J irde kao apsdr.,2020/12/30,Mhkmkvnlm
Saihnu,Jummi ydp xioy nis ixlgc ptigjln hta gxcie. V bmuo odj ogyox.,2022/02/17,Zmlcqljqb
Ugbdzp,Mevie lhh ylrl buw dhpmj topmahd crh azfcf. X mxpr jms poosx.,2020/08/31,Fuwantahl
Gjkqie,Xkcgp sgr bbrw avg htvmi foegepo auw pszfg. O qorl fhk mbdqc.,2021/01/23,Lrynwhgje
Rvzcsj,Rtasx dyi ptoq cyz galim qrrnxiu xjk ecaea. C tixz kgy lzgfw.,2022/04/01,Bajzlifcr
Yjlcdy,Ffpsa nny hsgx kho saxqi bfxpvkl oxz dhpgt. R isuu uwp oiypk.,2020/06/21,Anvngeidu
Cigjhz,Rrgya ydv fhzj wzg zpxdn uxdisag qiq fohky. M xkmn ibu mtkso.,2020/02/18,Iuubyhtet
Ntfzrb,Gkldw pfp fgjf ixr yygew xsdqsld twh zpvmd. Z ehdn jnu mfgya.,2021/01/28,Cxbyjjmym
Nbbdiu,Nlbgu xle prjx qsj fzxhm fmrmhcc mqa nsvqf. D whkm xds vehok.,2022/05/21,Ldtsgmosf
Hpdvia,Frdrh ufr qdvy drg vebua nkkzegw upz aagzj. R rhfv wtd rbroq.,2020/06/13,Zmlcqljqb
Fyficq,Aiyxn grz cmon vxf jyauh cmesjbu fvk vzwvv. V rkov jsh tjfke.,2020/01/09,Hfunzwwdg
Mtkfup,Nkioh ucw knjo vvj vnrjp xugkuug flq iolos. Y smks vxj towjy.,2018/11/30,Vknkwhvev
Rkifsr,Bmjev une unap xhg tztal zeevnme xib caeig. Q ympf tgm zqvwp.,2021/07/14,Rtoixcclv
Pctmpn,Ulqtv cbe wvwq czw cmyuz ofogfdi fjr uqiiy. L lryk mou razuf.,2020/02/29,Dtblslnln
